Last Name/Surname	Total1	Asian and Pacific Islander2	Percentage3	Rank4	U.S. Rank5
DELAVEGA	3,360	418	12.44%	2,886	9,661
BALAGTAS	473	418	88.37%	2,887	45,253
GOPINATH	455	418	91.87%	2,888	46,725
WIJAYA	448	418	93.30%	2,889	47,356
HAK	589	418	70.97%	2,890	37,735
LOC	496	417	84.07%	2,891	43,511
ABAYA	544	417	76.65%	2,892	40,261
GOODMAN	73,136	417	0.57%	2,893	451
HARTMAN	64,106	417	0.65%	2,894	524
SALDANA	34,434	417	1.21%	2,895	1,015
LLAMAS	11,028	417	3.78%	2,896	3,275
ARANA	10,698	417	3.90%	2,897	3,347
LOY	8,868	417	4.70%	2,898	4,006
MILES	84,942	416	0.49%	2,899	368
YBANEZ	1,709	416	24.34%	2,900	16,734
MIJARES	3,259	416	12.76%	2,901	9,912
HIRAYAMA	538	416	77.32%	2,902	40,610
HIRANI	469	416	88.70%	2,903	45,569
TASHIRO	540	415	76.85%	2,904	40,494
KONISHI	515	415	80.58%	2,905	42,163
MAXWELL	67,961	415	0.61%	2,906	490
GOON	811	415	51.17%	2,907	29,198
PILLAR	1,743	415	23.81%	2,908	16,481
ELAHI	719	414	57.58%	2,909	32,079
AKAMINE	544	414	76.10%	2,910	40,261
YOM	444	414	93.24%	2,911	47,706
PHI	481	413	85.86%	2,912	44,653
LISING	464	413	89.01%	2,913	45,959
SULIT	455	413	90.77%	2,914	46,725
WAHID	695	413	59.42%	2,915	32,960
BLAKE	73,797	413	0.56%	2,916	447
GALICIA	9,229	412	4.46%	2,917	3,837
LALWANI	456	412	90.35%	2,918	46,647
HINH	430	412	95.81%	2,919	48,995
ARUN	429	411	95.80%	2,920	49,087
KONDA	635	411	64.72%	2,921	35,447
TAKANO	481	411	85.45%	2,922	44,653
CHUGHTAI	459	411	89.54%	2,923	46,404
LAYUG	456	411	90.13%	2,924	46,647
PABLA	446	411	92.15%	2,925	47,521
BARNETT	95,681	411	0.43%	2,926	324
MUELLER	64,191	411	0.64%	2,927	523
MCKENZIE	59,595	411	0.69%	2,928	563
VICENCIO	1,797	411	22.87%	2,929	16,108
SABIR	1,024	411	40.14%	2,930	24,446
KEM	774	410	52.97%	2,931	30,250
CEREZO	1,927	410	21.28%	2,932	15,255
CALVO	6,883	410	5.96%	2,933	5,086
BRADY	73,145	410	0.56%	2,934	450
RAMCHANDANI	468	410	87.61%	2,935	45,653
NASEER	507	410	80.87%	2,936	42,720
KIEN	600	410	68.33%	2,937	37,180
AFTAB	493	409	82.96%	2,938	43,732
PILAPIL	453	409	90.29%	2,939	46,902
BRENNAN	49,238	409	0.83%	2,940	701
SAMI	1,117	409	36.62%	2,941	22,906
PHILLIP	6,857	409	5.96%	2,942	5,108
GOOD	35,446	408	1.15%	2,943	981
ALO	895	408	45.59%	2,944	27,059
MACADANGDANG	481	408	84.82%	2,945	44,653
SHERGILL	456	408	89.47%	2,946	46,647
NGUON	443	408	92.10%	2,947	47,791
PHIMMASONE	441	408	92.52%	2,948	47,966
GUPTE	436	408	93.58%	2,949	48,436
ENOMOTO	555	408	73.51%	2,950	39,607
ABUAN	529	408	77.13%	2,951	41,164
ABELLERA	516	408	79.07%	2,952	42,094
TAMANAHA	539	407	75.51%	2,953	40,554
DATU	443	407	91.87%	2,954	47,791
MANGAL	870	407	46.78%	2,955	27,646
BARBA	11,043	407	3.69%	2,956	3,268
GUERRA	70,071	406	0.58%	2,957	473
GARCES	6,420	406	6.32%	2,958	5,421
PUNO	486	406	83.54%	2,959	44,270
SAMPAT	445	406	91.24%	2,960	47,614
KAWASHIMA	477	405	84.91%	2,961	44,957
JOLLY	15,827	405	2.56%	2,962	2,306
GRAVES	84,179	404	0.48%	2,963	371
POTTER	72,175	404	0.56%	2,964	457
PARSONS	67,310	404	0.60%	2,965	498
CORRALES	11,348	404	3.56%	2,966	3,184
SAHAGUN	3,421	404	11.81%	2,967	9,501
SHE	506	404	79.84%	2,968	42,790
CAYANAN	429	404	94.17%	2,969	49,087
GOGINENI	422	404	95.73%	2,970	49,723
SANTOSO	447	403	90.16%	2,971	47,429
JOH	620	403	65.00%	2,972	36,154
BARTON	68,233	403	0.59%	2,973	488
WALL	53,794	403	0.75%	2,974	631
LATA	1,044	403	38.60%	2,975	24,112
PELAYO	8,402	402	4.78%	2,976	4,218
HASHIM	1,168	402	34.42%	2,977	22,131
ESPINA	1,101	402	36.51%	2,978	23,167
MENOR	769	402	52.28%	2,979	30,390
ANDAL	584	402	68.84%	2,980	37,993
KOTHA	421	402	95.49%	2,981	49,824
KURUP	436	401	91.97%	2,982	48,436
FABRO	672	401	59.67%	2,983	33,856
TRA	490	401	81.84%	2,984	43,969
SHAMIM	480	401	83.54%	2,985	44,730
BANAAG	470	401	85.32%	2,986	45,495
OZAWA	519	401	77.26%	2,987	41,886
REAL	6,959	401	5.76%	2,988	5,045
HARDY	80,252	401	0.50%	2,989	399
SCHROEDER	67,977	401	0.59%	2,990	489
JEAN	21,140	400	1.89%	2,991	1,703
GOYA	700	400	57.14%	2,992	32,792
SALMAN	2,311	400	17.31%	2,993	13,221
SIBAL	569	400	70.30%	2,994	38,801
JUNIO	617	400	64.83%	2,995	36,286
UEMURA	494	400	80.97%	2,996	43,651
JOSON	474	400	84.39%	2,997	45,189
GHAI	459	400	87.15%	2,998	46,404
KALSI	447	400	89.49%	2,999	47,429
SONGCO	443	399	90.07%	3,000	47,791
DANCEL	571	399	69.88%	3,001	38,691
RASOOL	680	399	58.68%	3,002	33,530
SOTH	662	399	60.27%	3,003	34,272
MALONE	71,286	399	0.56%	3,004	465
SAUNDERS	69,943	399	0.57%	3,005	476
QUINTANA	37,657	399	1.06%	3,006	923
JUAREZ	101,949	398	0.39%	3,007	306
WISE	68,649	398	0.58%	3,008	485
MASCARENHAS	675	398	58.96%	3,009	33,731
VERZOSA	487	398	81.72%	3,010	44,193
YAMAZAKI	442	398	90.05%	3,011	47,878
JUNEJA	441	398	90.25%	3,012	47,966
OLAES	511	398	77.89%	3,013	42,455
ASANO	535	397	74.21%	3,014	40,800
VAIDYANATHAN	414	397	95.89%	3,015	50,467
MACDONALD	46,717	397	0.85%	3,016	744
FREITAS	11,041	397	3.60%	3,017	3,270
ALDANA	10,362	397	3.83%	3,018	3,448
CABANILLA	752	397	52.79%	3,019	30,916
MONTEIRO	6,965	397	5.70%	3,020	5,036
HARMON	74,737	396	0.53%	3,021	438
MURILLO	45,558	396	0.87%	3,022	757
ROSA	33,521	396	1.18%	3,023	1,035
SIV	431	396	91.88%	3,024	48,901
POKHAREL	421	396	94.06%	3,025	49,824
MANDAVA	417	396	94.96%	3,026	50,196
TOPACIO	472	396	83.90%	3,027	45,347
RAMKUMAR	463	395	85.31%	3,028	46,037
ADNAN	536	395	73.69%	3,029	40,745
PATWARDHAN	426	395	92.72%	3,030	49,365
CALDWELL	93,944	395	0.42%	3,031	327
BRUCE	53,419	395	0.74%	3,032	636
GAW	1,731	395	22.82%	3,033	16,575
ATHWAL	433	394	90.99%	3,034	48,717
KHANOM	408	394	96.57%	3,035	51,066
MUMTAZ	464	394	84.91%	3,036	45,959
PERVEZ	450	394	87.56%	3,037	47,186
KUMAGAI	492	393	79.88%	3,038	43,811
KAGAWA	492	393	79.88%	3,039	43,811
SESE	483	393	81.37%	3,040	44,500
TSUDA	461	393	85.25%	3,041	46,219
SICAT	443	393	88.71%	3,042	47,791
MACATANGAY	414	393	94.93%	3,043	50,467
LUY	667	393	58.92%	3,044	34,073
SUNNY	579	393	67.88%	3,045	38,265
BUCHANAN	66,648	393	0.59%	3,046	503
BANDI	771	393	50.97%	3,047	30,339
BEN	3,386	392	11.58%	3,048	9,596
SIKDER	427	392	91.80%	3,049	49,268
HEMANI	435	391	89.89%	3,050	48,530
DHARIA	403	391	97.02%	3,051	51,610
HOSHINO	507	391	77.12%	3,052	42,720
PERUMAL	457	391	85.56%	3,053	46,568
MILAN	6,268	391	6.24%	3,054	5,543
CUETO	3,833	391	10.20%	3,055	8,593
MORTON	59,213	391	0.66%	3,056	568
HANNA	39,890	391	0.98%	3,057	867
ALCARAZ	11,616	391	3.37%	3,058	3,098
KRAMER	63,936	390	0.61%	3,059	526
HAYAKAWA	500	390	78.00%	3,060	43,206
NANDI	499	390	78.16%	3,061	43,285
DI	570	390	68.42%	3,062	38,754
POLICARPIO	560	390	69.64%	3,063	39,281
OJHA	425	390	91.76%	3,064	49,461
KADAM	411	390	94.89%	3,065	50,771
OKANO	512	389	75.98%	3,066	42,378
FUKUI	505	389	77.03%	3,067	42,858
KAMIYA	502	389	77.49%	3,068	43,077
PANLILIO	461	389	84.38%	3,069	46,219
CHEAH	457	389	85.12%	3,070	46,568
SUA	660	389	58.94%	3,071	34,353
SEIN	755	389	51.52%	3,072	30,825
BARON	16,308	388	2.38%	3,073	2,234
JUDGE	10,453	388	3.71%	3,074	3,414
BELMONTE	4,083	388	9.50%	3,075	8,124
MALL	1,682	388	23.07%	3,076	16,919
SHAKIR	1,513	388	25.64%	3,077	18,317
ASHOK	400	388	97.00%	3,078	51,941
TENGAN	501	388	77.45%	3,079	43,151
ISHIBASHI	495	387	78.18%	3,080	43,584
NY	447	387	86.58%	3,081	47,429
CABACUNGAN	535	387	72.34%	3,082	40,800
HOK	438	387	88.36%	3,083	48,256
SASTRY	426	387	90.85%	3,084	49,365
MURUGESAN	408	387	94.85%	3,085	51,066
KHUONG	398	387	97.24%	3,086	52,169
ESCANO	833	387	46.46%	3,087	28,618
VAUGHN	88,060	387	0.44%	3,088	356
GROSS	74,503	387	0.52%	3,089	440
THORNTON	83,967	386	0.46%	3,090	373
TAGLE	1,849	386	20.88%	3,091	15,763
BALAN	1,527	386	25.28%	3,092	18,218
CELIS	5,546	386	6.96%	3,093	6,170
CHEANG	422	386	91.47%	3,094	49,723
SENTHILKUMAR	399	386	96.74%	3,095	52,037
THAKORE	397	386	97.23%	3,096	52,267
KURIEN	427	385	90.16%	3,097	49,268
KARTHIK	401	385	96.01%	3,098	51,830
SOMASUNDARAM	392	385	98.21%	3,099	52,851
BALOCH	487	385	79.06%	3,100	44,193
AMANO	536	385	71.83%	3,101	40,745
NISHIYAMA	509	385	75.64%	3,102	42,579
ONEILL	50,028	385	0.77%	3,103	689
REMIGIO	1,489	385	25.86%	3,104	18,529
SULEMAN	691	385	55.72%	3,105	33,121
ROBBINS	78,381	384	0.49%	3,106	410
BAUER	65,004	384	0.59%	3,107	517
CEPEDA	11,572	384	3.32%	3,108	3,112
CONDE	10,430	384	3.68%	3,109	3,423
RUPANI	432	384	88.89%	3,110	48,800
STAANA	408	384	94.12%	3,111	51,066
GANTI	408	384	94.12%	3,112	51,066
TUONG	397	384	96.73%	3,113	52,267
SEKI	495	384	77.58%	3,114	43,584
ABEDIN	474	384	81.01%	3,115	45,189
MOCHIZUKI	473	384	81.18%	3,116	45,253
NASEEM	452	384	84.96%	3,117	47,006
GAVIOLA	488	383	78.48%	3,118	44,109
TSUCHIYA	483	383	79.30%	3,119	44,500
CHIENG	416	383	92.07%	3,120	50,275
GIM	415	383	92.29%	3,121	50,362
KEOMANY	414	383	92.51%	3,122	50,467
BRUN	2,770	383	13.83%	3,123	11,383
VAZ	2,317	382	16.49%	3,124	13,190
MCDANIEL	88,728	382	0.43%	3,125	352
PRATT	61,671	382	0.62%	3,126	541
FARRELL	52,321	382	0.73%	3,127	652
HANNAN	7,086	382	5.39%	3,128	4,962
VILLAFUERTE	3,700	382	10.32%	3,129	8,854
ALVIAR	1,128	382	33.87%	3,130	22,721
VELOSO	1,117	381	34.11%	3,131	22,906
BANKS	105,833	381	0.36%	3,132	292
PALACIOS	43,798	381	0.87%	3,133	789
BASDEO	787	381	48.41%	3,134	29,854
THAKKER	416	381	91.59%	3,135	50,275
PILLAY	558	381	68.28%	3,136	39,419
LOMBOY	530	381	71.89%	3,137	41,100
SIBAYAN	489	381	77.91%	3,138	44,034
GATDULA	466	381	81.76%	3,139	45,804
CAPATI	444	380	85.59%	3,140	47,706
DABU	429	380	88.58%	3,141	49,087
MANALAC	419	380	90.69%	3,142	49,999
MANOHARAN	402	380	94.53%	3,143	51,723
WATERS	67,929	380	0.56%	3,144	491
MONTES	48,142	380	0.79%	3,145	723
FOLEY	51,865	379	0.73%	3,146	661
LEANG	418	379	90.67%	3,147	50,106
PHOU	395	378	95.70%	3,148	52,482
DCOSTA	481	378	78.59%	3,149	44,653
BRAGANZA	469	378	80.60%	3,150	45,569
ROZARIO	527	378	71.73%	3,151	41,303
CHASE	52,481	378	0.72%	3,152	649
SOSA	52,457	378	0.72%	3,153	650
DUARTE	42,983	378	0.88%	3,154	808
BARBOSA	18,106	378	2.09%	3,155	1,992
MAYOR	2,450	378	15.43%	3,156	12,636
BILAL	1,670	378	22.63%	3,157	17,014
DAU	1,504	377	25.07%	3,158	18,411
SHIRAI	437	377	86.27%	3,159	48,347
BANZON	424	377	88.92%	3,160	49,546
CHEUK	398	377	94.72%	3,161	52,169
TRAC	394	377	95.69%	3,162	52,619
SOUNG	391	377	96.42%	3,163	52,970
NIMMAGADDA	391	376	96.16%	3,164	52,970
NISAR	460	376	81.74%	3,165	46,314
CHUE	446	376	84.30%	3,166	47,521
DON	2,076	376	18.11%	3,167	14,398
NIELSEN	42,773	376	0.88%	3,168	810
HERMAN	41,750	376	0.90%	3,169	826
QUINONES	34,468	376	1.09%	3,170	1,014
LIMA	19,109	376	1.97%	3,171	1,882
ALMONTE	12,128	375	3.09%	3,172	2,958
VELARDE	8,135	375	4.61%	3,173	4,371
MANALASTAS	420	375	89.29%	3,174	49,914
CHOUDRY	420	375	89.29%	3,175	49,914
MANANDHAR	397	375	94.46%	3,176	52,267
LACHICA	573	375	65.45%	3,177	38,582
GOVINDARAJAN	384	375	97.66%	3,178	53,802
SUNDARARAJAN	385	374	97.14%	3,179	53,667
KAWABATA	436	374	85.78%	3,180	48,436
MANOHAR	432	374	86.57%	3,181	48,800
AZIM	653	374	57.27%	3,182	34,618
SOTTO	649	374	57.63%	3,183	34,801
SANLUIS	601	374	62.23%	3,184	37,125
FONUA	475	374	78.74%	3,185	45,105
TAPIA	52,651	374	0.71%	3,186	647
JOHNS	47,246	373	0.79%	3,187	739
PENAFLOR	1,013	373	36.82%	3,188	24,648
AGUAS	1,440	373	25.90%	3,189	18,950
SHIBUYA	477	373	78.20%	3,190	44,957
CHANN	453	373	82.34%	3,191	46,902
CHIO	655	373	56.95%	3,192	34,539
PALANIAPPAN	382	373	97.64%	3,193	54,055
NGOV	391	372	95.14%	3,194	52,970
KYE	683	372	54.47%	3,195	33,410
CHAK	485	372	76.70%	3,196	44,356
SIENG	403	372	92.31%	3,197	51,610
RATHI	402	372	92.54%	3,198	51,723
HIROTA	531	372	70.06%	3,199	41,038
UYENO	515	372	72.23%	3,200	42,163
SUDA	1,610	372	23.11%	3,201	17,502
KAYA	1,455	372	25.57%	3,202	18,819
CATALAN	6,899	372	5.39%	3,203	5,076
TORRALBA	1,332	371	27.85%	3,204	20,065
JABBAR	1,023	371	36.27%	3,205	24,466
WEISS	57,112	371	0.65%	3,206	587
ZAPATA	32,274	371	1.15%	3,207	1,082
BENAVENTE	1,901	371	19.52%	3,208	15,409
MASAKI	445	371	83.37%	3,209	47,614
RAZVI	429	371	86.48%	3,210	49,087
YEON	394	370	93.91%	3,211	52,619
UNO	520	370	71.15%	3,212	41,799
SANGHAVI	384	370	96.35%	3,213	53,802
BANDYOPADHYAY	383	370	96.61%	3,214	53,913
AFRIDI	490	370	75.51%	3,215	43,969
EAR	444	370	83.33%	3,216	47,706
REYNOSO	23,143	370	1.60%	3,217	1,554
FRAZIER	92,152	369	0.40%	3,218	335
MOSS	76,908	369	0.48%	3,219	423
CHRISTOPHER	29,067	369	1.27%	3,220	1,214
BENITO	2,430	369	15.19%	3,221	12,703
CINCO	799	369	46.18%	3,222	29,528
SHAHI	478	369	77.20%	3,223	44,872
DOO	514	369	71.79%	3,224	42,237
UONG	386	369	95.60%	3,225	53,538
SENTHIL	383	369	96.34%	3,226	53,913
SHWE	383	369	96.34%	3,227	53,913
KALIDINDI	379	369	97.36%	3,228	54,418
HSI	404	368	91.09%	3,229	51,512
TESORO	826	368	44.55%	3,230	28,809
MATTHEW	6,436	368	5.72%	3,231	5,408
JARAMILLO	36,755	368	1.00%	3,232	945
BRUNO	30,883	368	1.19%	3,233	1,135
ANGEL	24,895	368	1.48%	3,234	1,428
MACHADO	23,170	368	1.59%	3,235	1,552
CURRY	74,919	367	0.49%	3,236	436
SAAVEDRA	18,834	367	1.95%	3,237	1,910
BEHARRY	918	367	39.98%	3,238	26,549
AGHA	902	367	40.69%	3,239	26,910
DOCTOR	3,465	367	10.59%	3,240	9,384
TUY	461	367	79.61%	3,241	46,219
MIYOSHI	471	366	77.71%	3,242	45,412
HIZON	420	366	87.14%	3,243	49,914
SUTARIA	388	366	94.33%	3,244	53,316
VENKATACHALAM	377	366	97.08%	3,245	54,637
VILLARIN	547	366	66.91%	3,246	40,082
SUY	518	366	70.66%	3,247	41,959
MIYASAKI	512	366	71.48%	3,248	42,378
TODD	71,759	366	0.51%	3,249	460
BRYAN	57,143	366	0.64%	3,250	585
RAMIRO	1,070	366	34.21%	3,251	23,675
ESCALONA	3,055	366	11.98%	3,252	10,505
CAMERON	55,240	365	0.66%	3,253	614
BAHADUR	533	365	68.48%	3,254	40,909
LAGASCA	472	365	77.33%	3,255	45,347
RIN	454	365	80.40%	3,256	46,811
RIZAL	379	365	96.31%	3,257	54,418
CHHOEUN	372	365	98.12%	3,258	55,255
AKELLA	376	364	96.81%	3,259	54,752
MANGUBAT	419	364	86.87%	3,260	49,999
PARVEZ	416	364	87.50%	3,261	50,275
DUNG	416	364	87.50%	3,262	50,275
TEOH	407	364	89.43%	3,263	51,176
KARNIK	628	364	57.96%	3,264	35,764
ZONG	458	364	79.48%	3,265	46,487
BARRON	52,070	364	0.70%	3,266	656
ARREOLA	21,540	364	1.69%	3,267	1,673
MONTENEGRO	10,606	364	3.43%	3,268	3,365
MCCORMICK	63,649	363	0.57%	3,269	532
DILLON	50,465	363	0.72%	3,270	683
STRONG	45,432	363	0.80%	3,271	760
SANYAL	401	363	90.52%	3,272	51,830
PHILIPOSE	378	363	96.03%	3,273	54,530
MANIBUSAN	599	363	60.60%	3,274	37,229
ABADILLA	441	362	82.09%	3,275	47,966
VISITACION	438	362	82.65%	3,276	48,256
TAUFA	436	362	83.03%	3,277	48,436
SURTI	400	362	90.50%	3,278	51,941
MAKWANA	393	362	92.11%	3,279	52,736
CALICA	535	362	67.66%	3,280	40,800
UK	503	362	71.97%	3,281	43,006
KUWAHARA	446	362	81.17%	3,282	47,521
GOODWIN	72,451	362	0.50%	3,283	454
MILLAN	10,733	362	3.37%	3,284	3,339
BAPTISTA	3,621	362	10.00%	3,285	9,027
ZACHARIAS	3,805	361	9.49%	3,286	8,641
HAYNES	85,974	361	0.42%	3,287	366
KOCH	49,395	361	0.73%	3,288	698
RABBANI	739	361	48.85%	3,289	31,360
JILANI	450	361	80.22%	3,290	47,186
KHWAJA	537	361	67.23%	3,291	40,672
THIARA	389	361	92.80%	3,292	53,204
SHIAU	374	361	96.52%	3,293	54,990
AGNIHOTRI	381	360	94.49%	3,294	54,178
SEOK	369	360	97.56%	3,295	55,619
NOCON	495	360	72.73%	3,296	43,584
MIA	632	360	56.96%	3,297	35,582
OSHITA	437	360	82.38%	3,298	48,347
VIADO	422	360	85.31%	3,299	49,723
KHURSHID	404	360	89.11%	3,300	51,512
SETIAWAN	396	360	90.91%	3,301	52,383
RAMSEY	78,350	360	0.46%	3,302	412
PECK	40,055	360	0.90%	3,303	864
MAYER	39,555	360	0.91%	3,304	880
MARKS	49,177	359	0.73%	3,305	703
BARRY	47,274	359	0.76%	3,306	738
KENT	44,325	359	0.81%	3,307	778
CHARI	434	359	82.72%	3,308	48,628
KWOCK	417	359	86.09%	3,309	50,196
SALUJA	394	359	91.12%	3,310	52,619
SARDAR	623	359	57.62%	3,311	35,993
RAFI	594	359	60.44%	3,312	37,492
KHEM	385	359	93.25%	3,313	53,667
SANTHANAM	384	359	93.49%	3,314	53,802
BANDARU	380	359	94.47%	3,315	54,296
RAUT	463	359	77.54%	3,316	46,037
TAKASHIMA	452	358	79.20%	3,317	47,006
POK	442	358	81.00%	3,318	47,878
PATHAMMAVONG	379	358	94.46%	3,319	54,418
TAKAI	438	358	81.74%	3,320	48,256
KATAOKA	428	358	83.64%	3,321	49,177
TSU	411	358	87.10%	3,322	50,771
NISA	410	358	87.32%	3,323	50,851
MANIAR	398	358	89.95%	3,324	52,169
KERR	44,711	358	0.80%	3,325	771
GARNER	74,324	357	0.48%	3,326	442
TYLER	66,056	357	0.54%	3,327	509
CAMBA	734	357	48.64%	3,328	31,516
DEMELLO	3,868	357	9.23%	3,329	8,512
CABANA	1,980	357	18.03%	3,330	14,943
MANALILI	419	357	85.20%	3,331	49,999
MAGBANUA	408	357	87.50%	3,332	51,066
SEKAR	383	357	93.21%	3,333	53,913
LANGI	486	357	73.46%	3,334	44,270
HEW	593	357	60.20%	3,335	37,544
RANE	612	356	58.17%	3,336	36,525
VILLALUZ	464	356	76.72%	3,337	45,959
KOIKE	435	356	81.84%	3,338	48,530
DHIR	389	356	91.52%	3,339	53,204
RAJANI	388	356	91.75%	3,340	53,316
EANG	381	356	93.44%	3,341	54,178
JONNALAGADDA	371	356	95.96%	3,342	55,386
RAMONES	771	356	46.17%	3,343	30,339
BERG	48,746	356	0.73%	3,344	712
MARIN	43,904	356	0.81%	3,345	784
KARR	10,324	356	3.45%	3,346	3,460
CLAUDIO	6,679	356	5.33%	3,347	5,224
MURTHA	3,573	356	9.96%	3,348	9,137
LEY	5,037	355	7.05%	3,349	6,704
CANNON	71,085	355	0.50%	3,350	466
WAY	14,157	355	2.51%	3,351	2,552
RAMAMOORTHY	358	355	99.16%	3,352	56,972
SAMALA	410	355	86.59%	3,353	50,851
SHAKEEL	406	355	87.44%	3,354	51,281
VERGHESE	399	355	88.97%	3,355	52,037
HUY	613	355	57.91%	3,356	36,477
MANAOIS	471	355	75.37%	3,357	45,412
SHAMSI	511	355	69.47%	3,358	42,455
SIDDIQ	610	354	58.03%	3,359	36,630
HAFIZ	580	354	61.03%	3,360	38,214
KELKAR	374	354	94.65%	3,361	54,990
INSIXIENGMAY	406	354	87.19%	3,362	51,281
NAMBA	474	354	74.68%	3,363	45,189
OLIVEIRA	19,055	354	1.86%	3,364	1,887
CHAM	1,124	354	31.49%	3,365	22,791
LLOYD	64,202	353	0.55%	3,366	522
NABI	738	353	47.83%	3,367	31,383
WOON	500	353	70.60%	3,368	43,206
BENEDICTO	557	353	63.38%	3,369	39,486
UMEDA	427	353	82.67%	3,370	49,268
BALACHANDRAN	390	352	90.26%	3,371	53,072
LUANGRATH	390	352	90.26%	3,372	53,072
LANSANG	387	352	90.96%	3,373	53,419
DHUNGANA	378	352	93.12%	3,374	54,530
VARANASI	373	352	94.37%	3,375	55,121
EUM	366	352	96.17%	3,376	55,962
DORJEE	360	352	97.78%	3,377	56,710
TRIAS	633	352	55.61%	3,378	35,537
SHEE	509	352	69.16%	3,379	42,579
LEAL	35,958	352	0.98%	3,380	969
NAVARRETE	24,259	352	1.45%	3,381	1,471
MOYA	18,071	352	1.95%	3,382	2,001
DELAFUENTE	6,996	352	5.03%	3,383	5,021
DEEN	4,471	352	7.87%	3,384	7,453
HINES	71,717	351	0.49%	3,385	462
SANTILLAN	13,081	351	2.68%	3,386	2,756
LARDIZABAL	571	351	61.47%	3,387	38,691
LIWAG	376	351	93.35%	3,388	54,752
VARADARAJAN	362	351	96.96%	3,389	56,444
IGARASHI	436	351	80.50%	3,390	48,436
QUERUBIN	434	351	80.88%	3,391	48,628
ISHAQ	682	351	51.47%	3,392	33,450
TABASSUM	367	350	95.37%	3,393	55,841
MALLADI	362	350	96.69%	3,394	56,444
CHALASANI	360	350	97.22%	3,395	56,710
YOGI	466	350	75.11%	3,396	45,804
NASIM	527	350	66.41%	3,397	41,303
GUANZON	430	350	81.40%	3,398	48,995
RODGERS	76,095	350	0.46%	3,399	428
NORTON	63,722	350	0.55%	3,400	531
RANDALL	54,764	350	0.64%	3,401	621
ALCALA	17,758	350	1.97%	3,402	2,029
HUE	795	350	44.03%	3,403	29,626
SHAMS	1,127	350	31.06%	3,404	22,733
SABIO	796	349	43.84%	3,405	29,604
PENN	19,409	349	1.80%	3,406	1,849
APTE	418	349	83.49%	3,407	50,106
ARAIN	396	349	88.13%	3,408	52,383
PUNJABI	392	349	89.03%	3,409	52,851
RAZZAK	481	349	72.56%	3,410	44,653
THIEU	373	349	93.57%	3,411	55,121
KAMBOJ	371	349	94.07%	3,412	55,386
DHIMAL	357	349	97.76%	3,413	57,101
AWASTHI	378	348	92.06%	3,414	54,530
HLAING	364	348	95.60%	3,415	56,195
VALLABHANENI	361	348	96.40%	3,416	56,588
MISA	604	348	57.62%	3,417	36,970
MIYAHIRA	438	348	79.45%	3,418	48,256
ILANO	408	348	85.29%	3,419	51,066
AGPAOA	402	348	86.57%	3,420	51,723
SAI	513	348	67.84%	3,421	42,308
SAWYER	49,028	348	0.71%	3,422	707
KAISER	33,480	348	1.04%	3,423	1,039
PAULO	1,388	348	25.07%	3,424	19,469
FULGENCIO	1,115	348	31.21%	3,425	22,944
AURELIO	1,089	348	31.96%	3,426	23,371
CARSON	56,872	347	0.61%	3,427	593
DAWOOD	1,797	347	19.31%	3,428	16,108
LIZAMA	2,960	347	11.72%	3,429	10,777
ALIPIO	563	347	61.63%	3,430	39,117
PE	582	347	59.62%	3,431	38,103
PARAYNO	392	347	88.52%	3,432	52,851
MATSUBARA	422	346	81.99%	3,433	49,723
NAVALTA	502	346	68.92%	3,434	43,077
EJAZ	390	346	88.72%	3,435	53,072
GHOTRA	374	346	92.51%	3,436	54,990
THIAGARAJAN	365	346	94.79%	3,437	56,073
SUNDARESAN	356	346	97.19%	3,438	57,234
DHANOA	351	346	98.58%	3,439	57,914
REVILLA	2,527	346	13.69%	3,440	12,303
HUTCHINSON	48,781	346	0.71%	3,441	710
LOCKE	27,643	346	1.25%	3,442	1,272
LAROSA	6,808	346	5.08%	3,443	5,140
GALLEGO	5,763	345	5.99%	3,444	5,971
PAULE	835	345	41.32%	3,445	28,552
KAKAR	813	345	42.44%	3,446	29,138
OSORIO	29,482	345	1.17%	3,447	1,199
KHOJA	434	345	79.49%	3,448	48,628
OHTA	429	345	80.42%	3,449	49,087
HYON	376	345	91.76%	3,450	54,752
CHOWDHRY	379	344	90.77%	3,451	54,418
CHOWDHARY	369	344	93.22%	3,452	55,619
BOPARAI	364	344	94.51%	3,453	56,195
MATSUSHIMA	461	344	74.62%	3,454	46,219
CUN	451	344	76.27%	3,455	47,107
MASUD	556	344	61.87%	3,456	39,555
IBAY	400	344	86.00%	3,457	51,941
VILLACORTA	1,750	344	19.66%	3,458	16,437
SIMEON	2,690	343	12.75%	3,459	11,653
ABBOTT	52,739	343	0.65%	3,460	645
BUENAFLOR	405	343	84.69%	3,461	51,396
BAYANI	452	343	75.88%	3,462	47,006
MALONZO	369	343	92.95%	3,463	55,619
SONODA	510	343	67.25%	3,464	42,511
SARAF	558	342	61.29%	3,465	39,419
SARIN	541	342	63.22%	3,466	40,432
SUL	530	342	64.53%	3,467	41,100
FURUYA	430	342	79.53%	3,468	48,995
SAWADA	408	342	83.82%	3,469	51,066
ASPIRAS	399	342	85.71%	3,470	52,037
VASHI	370	342	92.43%	3,471	55,505
KRISHNAKUMAR	358	342	95.53%	3,472	56,972
MARINO	31,687	342	1.08%	3,473	1,105
GLOVER	66,858	341	0.51%	3,474	501
JACOBSON	44,808	341	0.76%	3,475	767
NICHOLAS	27,922	341	1.22%	3,476	1,258
